nome_completo,sexo,cpf,data_nascimento,email,telefone,endereco_cidade,endereco_estado,curso_matricula_aluno,curso_codigo,curso_data_ingresso,curso_data_prevista_conclusao,curso_data_conclusao,curso_situacao_matricula
Maria Flor Viana,f,849.715.603-00,2005-03-08,heloisa61@example.org,+55 32 92404-2737,Nunes de Mendes,Rondônia,461333,2,2023-12-02,2026-07-19,2026-07-19,ativo
Dr. João Guilherme Novaes,m,376.495.128-19,1998-10-20,nicolelopes@example.com,+55 86 99218-5432,Cassiano,Pará,275111,3,2023-01-31,2026-12-11,2026-12-11,ativo
Thales Monteiro,m,089.562.431-15,2005-08-11,davi-luizda-mata@example.com,+55 31 92180-1466,da Cruz,Espírito Santo,467952,1,2023-11-14,2026-03-11,2026-03-11,ativo
Murilo Martins,m,193.254.670-70,1997-12-09,cavalcantirenan@example.org,+55 48 96928-6469,Cavalcanti do Norte,Rio Grande do Sul,234916,4,2024-08-11,2026-12-28,2026-12-28,ativo
Sr. Antony da Paz,m,301.958.762-02,1987-05-05,ifreitas@example.org,+55 50 91391-1568,Borges,Rio Grande do Sul,193818,3,2024-09-27,2026-03-05,2026-03-05,trancado
Lucas Lima,m,375.869.401-93,1992-02-03,sabrinacastro@example.org,+55 47 98548-3776,Souza,Ceará,257675,4,2023-01-10,2026-03-10,2026-03-10,ativo
Sra. Mariane da Mata,f,130.524.967-43,1987-04-13,agatha77@example.com,+55 64 94560-1085,Rodrigues de Borges,Tocantins,556406,3,2023-06-21,2025-10-24,2025-10-24,ativo
Ágatha Pereira,f,731.260.489-78,1999-06-23,franciscocosta@example.org,+55 83 91787-8202,Montenegro,Amapá,392900,5,2023-01-30,2026-01-07,2026-01-07,ativo
Dr. Vitor Hugo Fogaça,m,506.134.782-07,1992-08-03,klima@example.org,+55 46 93140-3873,Ribeiro Paulista,Bahia,920422,5,2023-07-11,2025-08-07,2025-08-07,ativo
Bianca Carvalho,f,385.964.710-57,2003-05-06,pedro94@example.com,+55 95 93914-3546,da Rocha Verde,Rio Grande do Sul,431465,3,2023-10-24,2025-03-31,2025-03-31,trancado
Mariane Aparecida,f,468.392.071-96,1992-03-30,fernando94@example.net,+55 44 91166-6874,Aragão,Pará,781144,1,2023-04-24,2026-05-11,2026-05-11,trancado
Paulo Vasconcelos,m,123.058.647-44,1984-03-07,mda-mota@example.org,+55 83 92311-1105,Dias,Minas Gerais,527386,4,2023-05-22,2025-11-04,2025-11-04,ativo
Davi Luiz Garcia,m,510.296.478-01,1999-11-26,camposcecilia@example.net,+55 72 96321-3016,Freitas,Rondônia,817214,2,2023-11-16,2026-11-09,2026-11-09,ativo
Léo Nascimento,m,352.041.876-26,1988-12-18,vinicius14@example.com,+55 24 96316-3258,Sampaio,Espírito Santo,934402,4,2023-01-13,2026-08-11,2026-08-11,ativo
Marina Cirino,f,028.793.145-50,2004-08-02,lucca55@example.org,+55 11 97485-1320,Pimenta da Mata,São Paulo,519938,1,2024-04-10,2025-03-25,2025-03-25,ativo
Rael Silva,m,263.410.895-89,1999-09-08,da-motahenry-gabriel@example.net,+55 77 98922-5704,Fogaça,Ceará,461173,5,2024-02-16,2024-12-28,2024-12-28,cancelado
Dr. Davi Luiz Moreira,m,280.516.973-59,1990-02-15,casa-grandeleo@example.net,+55 94 95941-8056,Novais,Alagoas,220980,5,2023-12-10,2025-12-05,2025-12-05,ativo
João Guilherme Fonseca,m,810.495.726-02,2004-09-04,nborges@example.org,+55 71 94759-4416,Lima dos Dourados,Distrito Federal,403759,3,2023-10-29,2025-04-01,2025-04-01,ativo
Daniela Souza,f,587.120.436-80,1990-04-23,imarques@example.net,+55 40 92238-7592,Sampaio da Prata,Sergipe,721188,3,2024-03-23,2025-03-18,2025-03-18,ativo
Mariane Guerra,f,306.517.429-43,1993-02-28,yagovasconcelos@example.com,+55 81 92836-3519,Barbosa da Serra,Rondônia,814593,5,2024-03-27,2026-09-22,2026-09-22,cancelado
Alexandre Moraes,m,849.703.156-39,1992-10-08,ribeirocaleb@example.com,+55 53 97434-8141,Nunes,Minas Gerais,175723,2,2024-04-25,2025-09-10,2025-09-10,ativo
Luara Pereira,f,293.187.546-55,1995-07-13,antony41@example.net,+55 25 94184-1824,Pinto do Galho,Roraima,999356,3,2024-09-25,2025-11-19,2025-11-19,ativo
Caroline Rocha,f,392.568.147-73,1981-08-30,opereira@example.net,+55 28 96284-1464,Rios das Flores,Ceará,857346,5,2023-04-28,2026-01-07,2026-01-07,ativo
